election_id,district_id,district_name,source_url,source_sha256,retrieved_sha256,outcome_source_url,outcome_source_sha256,elected_candidate,elected_party_raw,elected_party_family,finalist_1_candidate,finalist_1_party_raw,finalist_1_party_family,finalist_1_votes,finalist_1_percent,finalist_2_candidate,finalist_2_party_raw,finalist_2_party_family,finalist_2_votes,finalist_2_percent,winner_party_family,final_pair_family_label,final_pair_available,final_pair_selection_rule,outcome_table_kind,alp_won
vic_la_2022,box-hill,Box Hill,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/box-hill-district-results,895b967853896d82d744e4f3c2b06d27676c3ef6a1fea3399fe72629cf647236,895b967853896d82d744e4f3c2b06d27676c3ef6a1fea3399fe72629cf647236,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/box-hill-district-results,895b967853896d82d744e4f3c2b06d27676c3ef6a1fea3399fe72629cf647236,"HAMER, Paul",Australian Labor Party - Victorian Branch,ALP,"WERNER, Nicole Ta-Ei",Liberal,Coalition,18973,42.77,"HAMER, Paul",Australian Labor Party - Victorian Branch,ALP,25383,57.23,ALP,Coalition-ALP,True,governed-vec-final-total-parser,results-after-distribution,1
vic_la_2022,brighton,Brighton,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/brighton-district-results,cd3bb6c2656c2e2f49362a36fd764280e6df7afbc53edda90159937ceda89d44,cd3bb6c2656c2e2f49362a36fd764280e6df7afbc53edda90159937ceda89d44,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/brighton-district-results/brighton-results-distribution,bd3824b3cffa79d46b81464d4cbca0e18968de7f127c58029565136baabd57a8,"NEWBURY, James",Liberal,Coalition,"NEWBURY, James",Liberal,Coalition,20730,63.63,"CRAWFORD, Louise",Australian Labor Party - Victorian Branch,ALP,11850,36.37,Coalition,Coalition-ALP,True,governed-vec-final-total-parser,distribution-page-final-total,0
vic_la_2022,broadmeadows,Broadmeadows,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/broadmeadows-district-results,136f64e23e78e9b76561f8b4b64f8e59cc09900e75f88687551aa2cee76b9793,136f64e23e78e9b76561f8b4b64f8e59cc09900e75f88687551aa2cee76b9793,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/broadmeadows-district-results/broadmeadows-results-distribution,ba3a659ee0722ed37a74cc6b3be2acad2237c293dc7ec931a102cd6b2c588884,"MATTHEWS-WARD, Kathleen",Australian Labor Party - Victorian Branch,ALP,"MATTHEWS-WARD, Kathleen",Australian Labor Party - Victorian Branch,ALP,18063,63.43,"DUZOVA, Baris",Liberal,Coalition,10416,36.57,ALP,ALP-Coalition,True,governed-vec-final-total-parser,distribution-page-final-total,1
vic_la_2022,brunswick,Brunswick,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/brunswick-district-results,de4d7724522c056a7ff7370fe026b10cba22ab9e65a2bcfbe3ca0d0d7b104f38,de4d7724522c056a7ff7370fe026b10cba22ab9e65a2bcfbe3ca0d0d7b104f38,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/brunswick-district-results/brunswick-results-distribution,393a1e78722ca5fc3d729df9551c810cbf9341fcf688d7057c993c9b7bebf35d,"READ, Tim",Australian Greens,Greens,"READ, Tim",Australian Greens,Greens,23959,63.36,"WILLIAMS, Mike",Australian Labor Party - Victorian Branch,ALP,13854,36.64,Greens,Greens-ALP,True,governed-vec-final-total-parser,distribution-page-final-total,0
vic_la_2022,bulleen,Bulleen,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/bulleen-district-results,a278e3e38285c255564e71d0f66283b8517422853128f26b8305ce7ebeeff0c4,a278e3e38285c255564e71d0f66283b8517422853128f26b8305ce7ebeeff0c4,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/bulleen-district-results/bulleen-results-distribution,3a9f7f784a31d6a7c5d43e1de2673252a2416f22878587c884ca14647fda5f27,"GUY, Matthew",Liberal,Coalition,"GUY, Matthew",Liberal,Coalition,22374,60.14,"ROGERS, Ian",Australian Labor Party - Victorian Branch,ALP,14829,39.86,Coalition,Coalition-ALP,True,governed-vec-final-total-parser,distribution-page-final-total,0
vic_la_2022,bundoora,Bundoora,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/bundoora-district-results,a89e0713fcde4f042244908b164af963f5d394879ca342a07ca73ee0cb4aa9a6,a89e0713fcde4f042244908b164af963f5d394879ca342a07ca73ee0cb4aa9a6,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/bundoora-district-results/bundoora-results-distribution,44f6cd305ebccc6f1348c81f99257aab892a06e85dcd92513844877bdbcad901,"BROOKS, Colin",Australian Labor Party - Victorian Branch,ALP,"BROOKS, Colin",Australian Labor Party - Victorian Branch,ALP,20316,60.44,"TOMAR, Sahil",Liberal,Coalition,13296,39.56,ALP,ALP-Coalition,True,governed-vec-final-total-parser,distribution-page-final-total,1
vic_la_2022,carrum,Carrum,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/carrum-district-results,0ac42775be440e4e98c3ca410601c80adb5e69d02d4bddf60f317aa406e62cbf,0ac42775be440e4e98c3ca410601c80adb5e69d02d4bddf60f317aa406e62cbf,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/carrum-district-results/carrum-results-distribution,102684a2a1d56e52ff2a8070c599ca25313e11c21752799be2d6a37c3e1d9811,"KILKENNY, Sonya",Australian Labor Party - Victorian Branch,ALP,"KILKENNY, Sonya",Australian Labor Party - Victorian Branch,ALP,21666,62.06,"BUCHANAN, Bec",Liberal,Coalition,13247,37.94,ALP,ALP-Coalition,True,governed-vec-final-total-parser,distribution-page-final-total,1
vic_la_2022,caulfield,Caulfield,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/caulfield-district-results,8f6ef90d2db90f86e64e985d9261563b625be3e26632aad7778559c80c8af670,8f6ef90d2db90f86e64e985d9261563b625be3e26632aad7778559c80c8af670,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/caulfield-district-results,8f6ef90d2db90f86e64e985d9261563b625be3e26632aad7778559c80c8af670,"SOUTHWICK, David",Liberal,Coalition,"SOUTHWICK, David",Liberal,Coalition,21183,52.07,"HAREL, Lior",Australian Labor Party - Victorian Branch,ALP,19500,47.93,Coalition,Coalition-ALP,True,governed-vec-final-total-parser,results-after-distribution,0
vic_la_2022,clarinda,Clarinda,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/clarinda-district-results,9f9c835475cea4ac6666afe01c500bc3c266ac67a15f520ee4b2948baa8632dc,9f9c835475cea4ac6666afe01c500bc3c266ac67a15f520ee4b2948baa8632dc,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/clarinda-district-results/clarinda-results-distribution,3302556e3a70ca6c78facede60c6849e933f686370665d4969655d9dbae16cb1,"TAK, Meng Heang",Australian Labor Party - Victorian Branch,ALP,"TAK, Meng Heang",Australian Labor Party - Victorian Branch,ALP,21954,62.95,"RICHARDSON, Anthony",Liberal,Coalition,12921,37.05,ALP,ALP-Coalition,True,governed-vec-final-total-parser,distribution-page-final-total,1
vic_la_2022,cranbourne,Cranbourne,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/cranbourne-district-results,7dd586dd23a4ba1df0671ce0a2a9db937eee8063da9fc4ca4bfd57c681cb2b36,7dd586dd23a4ba1df0671ce0a2a9db937eee8063da9fc4ca4bfd57c681cb2b36,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/cranbourne-district-results/cranbourne-results-distribution,a9fdd221114da9ed0478674cc54258caeab81418afed8e6babae861d35e25ee7,"RICHARDS, Pauline",Australian Labor Party - Victorian Branch,ALP,"RICHARDS, Pauline",Australian Labor Party - Victorian Branch,ALP,21931,62.83,"SINGH, Jagdeep",Liberal,Coalition,12973,37.17,ALP,ALP-Coalition,True,governed-vec-final-total-parser,distribution-page-final-total,1
