district_id,district_name,feature_id,value,cutoff,source_role
22,CROYDON,owned_outright_share,0.349165689365,2014-11-28,prediction-safe-prior-geographic-translation
22,CROYDON,separate_house_share,0.818575131307,2014-11-28,prediction-safe-prior-geographic-translation
22,CROYDON,apartment_share,0.051370323859,2014-11-28,prediction-safe-prior-geographic-translation
22,CROYDON,age_18_34_share,0.197832517645,2014-11-28,prediction-safe-prior-geographic-translation
22,CROYDON,age_65_plus_share,0.160281309326,2014-11-28,prediction-safe-prior-geographic-translation
23,DANDENONG,mortgage_share,0.299082405117,2014-11-28,prediction-safe-prior-geographic-translation
23,DANDENONG,renter_share,0.348223200041,2014-11-28,prediction-safe-prior-geographic-translation
23,DANDENONG,owned_outright_share,0.296281819597,2014-11-28,prediction-safe-prior-geographic-translation
23,DANDENONG,separate_house_share,0.727477904053,2014-11-28,prediction-safe-prior-geographic-translation
23,DANDENONG,apartment_share,0.223504012464,2014-11-28,prediction-safe-prior-geographic-translation
23,DANDENONG,age_18_34_share,0.246297822427,2014-11-28,prediction-safe-prior-geographic-translation
23,DANDENONG,age_65_plus_share,0.133545311324,2014-11-28,prediction-safe-prior-geographic-translation
24,EILDON,mortgage_share,0.416464291445,2014-11-28,prediction-safe-prior-geographic-translation
24,EILDON,renter_share,0.161887770921,2014-11-28,prediction-safe-prior-geographic-translation
24,EILDON,owned_outright_share,0.384360726315,2014-11-28,prediction-safe-prior-geographic-translation
24,EILDON,separate_house_share,0.930392923664,2014-11-28,prediction-safe-prior-geographic-translation
24,EILDON,apartment_share,0.021889829292,2014-11-28,prediction-safe-prior-geographic-translation
24,EILDON,age_18_34_share,0.139988231631,2014-11-28,prediction-safe-prior-geographic-translation
24,EILDON,age_65_plus_share,0.156158127923,2014-11-28,prediction-safe-prior-geographic-translation
25,ELTHAM,mortgage_share,0.460760632692,2014-11-28,prediction-safe-prior-geographic-translation
25,ELTHAM,renter_share,0.113562819094,2014-11-28,prediction-safe-prior-geographic-translation
25,ELTHAM,owned_outright_share,0.400506761316,2014-11-28,prediction-safe-prior-geographic-translation
25,ELTHAM,separate_house_share,0.911612936985,2014-11-28,prediction-safe-prior-geographic-translation
25,ELTHAM,apartment_share,0.025135691643,2014-11-28,prediction-safe-prior-geographic-translation
25,ELTHAM,age_18_34_share,0.171711038003,2014-11-28,prediction-safe-prior-geographic-translation
25,ELTHAM,age_65_plus_share,0.116623545849,2014-11-28,prediction-safe-prior-geographic-translation
26,ESSENDON,mortgage_share,0.293569565663,2014-11-28,prediction-safe-prior-geographic-translation
26,ESSENDON,renter_share,0.351795013353,2014-11-28,prediction-safe-prior-geographic-translation
26,ESSENDON,owned_outright_share,0.317829543660,2014-11-28,prediction-safe-prior-geographic-translation
26,ESSENDON,separate_house_share,0.574809334521,2014-11-28,prediction-safe-prior-geographic-translation
26,ESSENDON,apartment_share,0.287137878288,2014-11-28,prediction-safe-prior-geographic-translation
