election_id,district_name,district_id,source_page,source_url,source_sha256,candidate_order,candidate_name,party_raw,independent_status,party_family,first_preference_votes,formal_votes,district_reconciled
vic_la_2010,Bellarine,bellarine,168,https://www.vec.vic.gov.au/-/media/08680c0035b34af4b6ea2074edc763a4.pdf,be2dbabd5735ff7128fa9ac5ab3e05e99d41c3d7a4502d33959b7c3464da7567,5,"BALDACCHINO, Judy",AUSTRALIAN GREENS,False,Greens,3123,39811,True
vic_la_2010,Bellarine,bellarine,168,https://www.vec.vic.gov.au/-/media/08680c0035b34af4b6ea2074edc763a4.pdf,be2dbabd5735ff7128fa9ac5ab3e05e99d41c3d7a4502d33959b7c3464da7567,6,"CHERRY, Mitch",SOCIALIST ALLIANCE,False,Other/Independent,274,39811,True
vic_la_2010,Bellarine,bellarine,168,https://www.vec.vic.gov.au/-/media/08680c0035b34af4b6ea2074edc763a4.pdf,be2dbabd5735ff7128fa9ac5ab3e05e99d41c3d7a4502d33959b7c3464da7567,7,"REITER, Kurt",LIBERAL,False,Coalition,17140,39811,True
vic_la_2010,Bellarine,bellarine,168,https://www.vec.vic.gov.au/-/media/08680c0035b34af4b6ea2074edc763a4.pdf,be2dbabd5735ff7128fa9ac5ab3e05e99d41c3d7a4502d33959b7c3464da7567,8,"McCALLUM, Nick",COUNTRY ALLIANCE,False,Other/Independent,665,39811,True
vic_la_2010,Benalla,benalla,171,https://www.vec.vic.gov.au/-/media/08680c0035b34af4b6ea2074edc763a4.pdf,be2dbabd5735ff7128fa9ac5ab3e05e99d41c3d7a4502d33959b7c3464da7567,1,"CORDNER HUNT, Kammy",AUSTRALIAN GREENS,False,Greens,2756,33302,True
vic_la_2010,Benalla,benalla,171,https://www.vec.vic.gov.au/-/media/08680c0035b34af4b6ea2074edc763a4.pdf,be2dbabd5735ff7128fa9ac5ab3e05e99d41c3d7a4502d33959b7c3464da7567,2,"HUNT, Rochelle",COUNTRY ALLIANCE,False,Other/Independent,2546,33302,True
vic_la_2010,Benalla,benalla,171,https://www.vec.vic.gov.au/-/media/08680c0035b34af4b6ea2074edc763a4.pdf,be2dbabd5735ff7128fa9ac5ab3e05e99d41c3d7a4502d33959b7c3464da7567,3,"ALLEN, Rowena",AUSTRALIAN LABOR PARTY,False,ALP,6124,33302,True
vic_la_2010,Benalla,benalla,171,https://www.vec.vic.gov.au/-/media/08680c0035b34af4b6ea2074edc763a4.pdf,be2dbabd5735ff7128fa9ac5ab3e05e99d41c3d7a4502d33959b7c3464da7567,4,"WILLIAMS, Nicholas",,True,Other/Independent,804,33302,True
vic_la_2010,Benalla,benalla,171,https://www.vec.vic.gov.au/-/media/08680c0035b34af4b6ea2074edc763a4.pdf,be2dbabd5735ff7128fa9ac5ab3e05e99d41c3d7a4502d33959b7c3464da7567,5,"SYKES, Bill",THE NATIONALS,False,Coalition,21072,33302,True
vic_la_2010,Benambra,benambra,173,https://www.vec.vic.gov.au/-/media/08680c0035b34af4b6ea2074edc763a4.pdf,be2dbabd5735ff7128fa9ac5ab3e05e99d41c3d7a4502d33959b7c3464da7567,1,"O'CONNOR, Jennifer",AUSTRALIAN GREENS,False,Greens,3658,32985,True
