election_id,district_id,district_name,source_url,source_sha256,outcome_source_url,outcome_source_sha256,elected_candidate,elected_party_raw,elected_party_family,finalist_1_candidate,finalist_1_party_raw,finalist_1_party_family,finalist_1_votes,finalist_1_percent,finalist_2_candidate,finalist_2_party_raw,finalist_2_party_family,finalist_2_votes,finalist_2_percent,winner_party_family,final_pair_family_label,final_pair_available,final_pair_reason,outcome_table_kind,target_outcome_dependency
vic_la_2010,narre-warren-south,Narre Warren South,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2010/state2010resultnarrewarrensouthdistrict.html,e6c31b8c129ac296739ed268da4347cb44b6d7fd27a73d7cc86f99275872e125,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2010/state2010distributionnarrewarrensouthdistrict.html,932f10a03d29c319bfc147fe01582b86a514fcb9d899dcfaa2fb1bbc4826332f,"GRALEY, Judith",AUSTRALIAN LABOR PARTY - VICTORIAN BRANCH,ALP,"GRALEY, Judith",AUSTRALIAN LABOR PARTY,ALP,23063,55.03,"ROWE, Gary",LIBERAL,Coalition,18847,44.97,ALP,ALP-Coalition,True,official-results-after-distribution-of-preferences,distribution-page-final-total,False
vic_la_2010,nepean,Nepean,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2010/state2010resultnepeandistrict.html,071a1fca90c080824aa1d739659ca12597d5460f6f0167235ecfae3de9e8003d,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2010/state2010resultnepeandistrict.html,071a1fca90c080824aa1d739659ca12597d5460f6f0167235ecfae3de9e8003d,"DIXON, Martin",LIBERAL PARTY OF AUSTRALIA - VICTORIAN DIVISION,Coalition,,,,,,,,,,,Coalition,,False,official-page-exposes-only-two-candidate-preferred-or-early-majority,final-pair-unavailable-early-majority,False
vic_la_2010,niddrie,Niddrie,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2010/state2010resultniddriedistrict.html,988cc7016376562f7eac3f22add7162993e05636ea12c8bef576a9f8221330ca,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2010/state2010distributionniddriedistrict.html,9cd394f97983e8c05dddbd10545abc3c4eb36d793415f8c882f7b1e03e7b3d5e,"HULLS, Rob",AUSTRALIAN LABOR PARTY - VICTORIAN BRANCH,ALP,"HULLS, Rob",AUSTRALIAN LABOR PARTY,ALP,15929,55.63,"BAUCH, Joh",LIBERAL,Coalition,12703,44.37,ALP,ALP-Coalition,True,official-results-after-distribution-of-preferences,distribution-page-final-total,False
vic_la_2010,northcote,Northcote,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2010/state2010resultnorthcotedistrict.html,92b0b268b9b04aaa83e9e2a3895399bb42ac8b672ef9b213b692a73edb0c3895,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2010/state2010resultnorthcotedistrict.html,92b0b268b9b04aaa83e9e2a3895399bb42ac8b672ef9b213b692a73edb0c3895,"RICHARDSON, Fiona",AUSTRALIAN LABOR PARTY - VICTORIAN BRANCH,ALP,"MARTINELLI, Anne",Greens,Greens,13946,39.37,"RICHARDSON, Fiona",ALP,ALP,21476,60.63,ALP,Greens-ALP,True,official-results-after-distribution-of-preferences,results-after-distribution,False
vic_la_2010,oakleigh,Oakleigh,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2010/state2010resultoakleighdistrict.html,7f8a0aa7f29fe8b1471e0baf7f51dc9c4c2cb42f0642702a0c999df70bbd401e,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2010/state2010resultoakleighdistrict.html,7f8a0aa7f29fe8b1471e0baf7f51dc9c4c2cb42f0642702a0c999df70bbd401e,"BARKER, Ann",AUSTRALIAN LABOR PARTY - VICTORIAN BRANCH,ALP,"BARKER, Ann",ALP,ALP,17210,54.71,"ZOGRAPHOS, Theo",Liberal,Coalition,14247,45.29,ALP,ALP-Coalition,True,official-results-after-distribution-of-preferences,results-after-distribution,False
vic_la_2010,pascoe-vale,Pascoe Vale,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2010/state2010resultpascoevaledistrict.html,535632a2d14a8a90f9df51d331b0daa3878b90cf8596e13a8a11ab2bce144aeb,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2010/state2010resultpascoevaledistrict.html,535632a2d14a8a90f9df51d331b0daa3878b90cf8596e13a8a11ab2bce144aeb,"CAMPBELL, Christine",AUSTRALIAN LABOR PARTY - VICTORIAN BRANCH,ALP,,,,,,,,,,,ALP,,False,official-page-exposes-only-two-candidate-preferred-or-early-majority,final-pair-unavailable-early-majority,False
vic_la_2010,polwarth,Polwarth,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2010/state2010resultpolwarthdistrict.html,507e865a3f46cf7fa8a3b360b03ab59c0a7b2eead817f05a5fda56f62722f360,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2010/state2010resultpolwarthdistrict.html,507e865a3f46cf7fa8a3b360b03ab59c0a7b2eead817f05a5fda56f62722f360,"MULDER, Terry",LIBERAL PARTY OF AUSTRALIA - VICTORIAN DIVISION,Coalition,,,,,,,,,,,Coalition,,False,official-page-exposes-only-two-candidate-preferred-or-early-majority,final-pair-unavailable-early-majority,False
vic_la_2010,prahran,Prahran,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2010/state2010resultprahrandistrict.html,6a4194e54863e05c3e1e6976d6662d6d9b4d106402b718622ae9f6df0ecbd3a6,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2010/state2010resultprahrandistrict.html,6a4194e54863e05c3e1e6976d6662d6d9b4d106402b718622ae9f6df0ecbd3a6,"NEWTON-BROWN, Clem",LIBERAL PARTY OF AUSTRALIA - VICTORIAN DIVISION,Coalition,"NEWTON-BROWN, Clem",Liberal,Coalition,18333,54.28,"LUPTON, Tony",ALP,ALP,15443,45.72,Coalition,Coalition-ALP,True,official-results-after-distribution-of-preferences,results-after-distribution,False
vic_la_2010,preston,Preston,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2010/state2010resultprestondistrict.html,fe1349a6b98a8b55cd3216a9ea0f6ff33935803f50cbe8b207cec5504804ac6b,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2010/state2010resultprestondistrict.html,fe1349a6b98a8b55cd3216a9ea0f6ff33935803f50cbe8b207cec5504804ac6b,"SCOTT, Robin",AUSTRALIAN LABOR PARTY - VICTORIAN BRANCH,ALP,,,,,,,,,,,ALP,,False,official-page-exposes-only-two-candidate-preferred-or-early-majority,final-pair-unavailable-early-majority,False
vic_la_2010,richmond,Richmond,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2010/state2010resultrichmonddistrict.html,05e17a70a141e48aeb208eab05a4675621c095246d615e9e11ce037a89d8f2e5,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2010/state2010resultrichmonddistrict.html,05e17a70a141e48aeb208eab05a4675621c095246d615e9e11ce037a89d8f2e5,"WYNNE, Richard",AUSTRALIAN LABOR PARTY - VICTORIAN BRANCH,ALP,"WYNNE, Richard",ALP,ALP,20114,56.24,"MALTZAHN, Kathleen",Greens,Greens,15652,43.76,ALP,ALP-Greens,True,official-results-after-distribution-of-preferences,results-after-distribution,False
