election_id,region_id,region_name,source_type,source_url,sha256,bytes
vic_lc_2022,eastern-victoria-region,Eastern Victoria Region,region-result-page,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-region/eastern-victoria-region-results,579a8a8c61d56298ea64d0c622eb896a9a089e33b7bac3f8efa72fa2a844dfd2,141712
vic_lc_2022,eastern-victoria-region,Eastern Victoria Region,distribution-workbook,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/State/Reports/Eastern Victoria Region-Distribution of Preferences.xls,a53d4b5e958eef87e93f64007ccbda9c3791fc13722978a1dd1cc4b3c73897a0,403456
vic_lc_2022,north-eastern-metropolitan-region,North-Eastern Metropolitan Region,region-result-page,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-region/north-eastern-metropolitan-region-results,cdf5e00547fd5566e395f4fca10ad3069a18bd35b0fbab130af1a28bacb3c031,141840
vic_lc_2022,north-eastern-metropolitan-region,North-Eastern Metropolitan Region,distribution-workbook,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/State/Reports/North-Eastern Metropolitan Region-Distribution of Preferences.xls,dc25cbb935b57fe9d84cde83608cd629839954cb011a1b03e24489198df4c670,342016
vic_lc_2022,northern-metropolitan-region,Northern Metropolitan Region,region-result-page,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-region/northern-metropolitan-region-results,f494409b79bd495eb206e76b6f8f190053d1c1d3f170e1549b38024a85d7fe0c,142556
vic_lc_2022,northern-metropolitan-region,Northern Metropolitan Region,distribution-workbook,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/State/Reports/Northern Metropolitan Region-Distribution of Preferences.xls,c8e91a8442c7f19569be3d88be4f576432d57120299dd28078cd472bbb71c087,420864
vic_lc_2022,northern-victoria-region,Northern Victoria Region,region-result-page,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-region/northern-victoria-region-results,911b87249d5d43e91aa52262642da2be5d38f0b263a5500705a01fc4471515e8,141343
vic_lc_2022,northern-victoria-region,Northern Victoria Region,distribution-workbook,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/State/Reports/Northern Victoria Region-Distribution of Preferences.xls,95e0f026ac5b873aead4cc6098ba51fc984afc9aa72682718d8dde864124af03,387072
vic_lc_2022,south-eastern-metropolitan-region,South-Eastern Metropolitan Region,region-result-page,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-region/south-eastern-metropolitan-region-results,e0e190fb90e304ec1ae521f46b8ae6aa4eb24beef3c65a3f147a3bcf8544ee02,141918
vic_lc_2022,south-eastern-metropolitan-region,South-Eastern Metropolitan Region,distribution-workbook,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/State/Reports/South-Eastern Metropolitan Region-Distribution of Preferences.xls,9bbb35568afb07132b5f0a3333a2ebb675baf84857d11a57b6dd66e656144b71,374272
vic_lc_2022,southern-metropolitan-region,Southern Metropolitan Region,region-result-page,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-region/southern-metropolitan-region-results,5b84bf394d79df6a7f56f2f407af48bd04f38986d000b113e94a9590a775a12d,141049
vic_lc_2022,southern-metropolitan-region,Southern Metropolitan Region,distribution-workbook,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/State/Reports/Southern Metropolitan Region-Distribution of Preferences.xls,5f1b804072ca20820e4b0a2ecc8d1dbef10cba56153eeb35cde8cb22408c0b2a,353280
vic_lc_2022,western-metropolitan-region,Western Metropolitan Region,region-result-page,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-region/western-metropolitan-region-results,2f28ed54bbc057cfd21853a039c0425b8a0d32c7a4bb536b3dc0ad257d05435c,143927
vic_lc_2022,western-metropolitan-region,Western Metropolitan Region,distribution-workbook,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/State/Reports/Western Metropolitan Region-Distribution of Preferences.xls,330199827f7d76e263c1a869197faa81298e7e31d35449c0b1de70ad38d4bd3c,448512
vic_lc_2022,western-victoria-region,Western Victoria Region,region-result-page,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-region/western-victoria-region-results,5d23a05e96539a5a7714221fec736afec9fe421463cb112c883c4fb4de573dfb,142150
vic_lc_2022,western-victoria-region,Western Victoria Region,distribution-workbook,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/State/Reports/Western Victoria Region-Distribution of Preferences.xls,0abe54e58d12f47c3688e265d52a9b30c896ec8d73c95940b8814b38a5d6ff15,407040
