election_year,district_name,contest,source_url,sha256
2014,Kew,general-election,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2014/kewdistrict.html,968bfe3068ebc265e62d907b9cb970681a14d86d8e2a514a9149775f80dd8456
2014,Keysborough,general-election,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2014/keysboroughdistrict.html,d6d94e92143e8bdebba1d906c0773dd673bd0d6b8f5c41ac748c792f1dc07d9d
2014,Kororoit,general-election,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2014/kororoitdistrict.html,1aa4b05f68d7bc11cb8d478e8489b2b1d3da83a2b8c157485d27eaa821dbcfa6
2014,Lara,general-election,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2014/laradistrict.html,742b6fc02c484527460501ac7d31b8d38828222da8a75b130b11050142f801ab
2014,Lowan,general-election,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2014/lowandistrict.html,33ef9b3bffe39fea8c81ad3e76ad5d11aa55b0718f9a35f05647a09ad3cd2002
2014,Macedon,general-election,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2014/macedondistrict.html,c3e7f40e5292984ad941607ed6763be61a44539a438fbffb9d586165608e1e45
2014,Malvern,general-election,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2014/malverndistrict.html,35687d20027a3b830202fc0a34ac9ee7feb77626bc21aaa68599c32d574c2ad3
2014,Melbourne,general-election,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2014/melbournedistrict.html,ffb40a1569fd709f9323a6c542ce606ce06f835ff0a6d4dd5cfe1d557b7c7706
2014,Melton,general-election,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2014/meltondistrict.html,d9f80847a6107be0b1ea048a1be98b51a4c1d8ca5280b7ada6514a40cb0672df
2014,Mildura,general-election,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2014/milduradistrict.html,ad1c02643aa6d2f51be45374f8377f3d16a67b93478d08100e6ac20f86009a60
2014,Mill Park,general-election,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2014/millparkdistrict.html,0ffd547436ff8c28f16d1a7982abd8d98d73cc9402bab55e8485735085f5ef62
2014,Monbulk,general-election,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2014/monbulkdistrict.html,4d38dc82f9bb71cdc0a3bd53cc8efecd1e575dd6b65fa457ac65627ed7abf2e5
2014,Mordialloc,general-election,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2014/mordiallocdistrict.html,3756bc7970bf53afd4a74940eff7c1462734a2493cccb73bc9bf5f3439c8e72d
2014,Mornington,general-election,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2014/morningtondistrict.html,2b06028e43d06b949c1dd663dd58de649fca5c8a416cf6aa975af5183c4788dc
2014,Morwell,general-election,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2014/morwelldistrict.html,1e57cc8ac855669d4055acefd22db5f9ce3cd8fe9f5b37cf784eb31eb6dcd293
2014,Mount Waverley,general-election,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2014/mountwaverleydistrict.html,d675494237c0aa486c7ed5bfb5e2639577b9cbe10a7202c218165a118b5ee6e0
2014,Mulgrave,general-election,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2014/mulgravedistrict.html,ef883b856f4b1c111479d6e84135193aad376daeddcf60f1daa6ffcebf879e0a
2014,Murray Plains,general-election,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2014/murrayplainsdistrict.html,a3aafec450ec4637ac19236706919747e80046639020815c429cf4f5d80ab4be
2014,Narracan,general-election,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2014/narracandistrict.html,b055fd60253b8993943e48718209e43869b57f568c352b72f30aff167d7d7d66
2014,Narre Warren North,general-election,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2014/narrewarrennorthdistrict.html,2809a165c1b57ebdf34695ec68e6ce8fa19550554c8488f29677bc52036064b8
2014,Narre Warren South,general-election,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2014/narrewarrensouthdistrict.html,b589f17520d5596be3c5ecc411d27726790bd504fec1b6ec75235a373453aa90
2014,Nepean,general-election,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2014/nepeandistrict.html,7930305c95550bbab37d77725059452659389d4bb35220e86f00d589b473f7a5
2014,Niddrie,general-election,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2014/niddriedistrict.html,bb51c2229f2221c95038ba7f792be262fd7221a43adcfac851856c3bdf180ba3
2014,Northcote,general-election,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2014/northcotedistrict.html,7ec28b40116706824433fc960ccaa2e24cc8ad2bdfeb0cb9b743e8ae373fab55
2014,Oakleigh,general-election,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2014/oakleighdistrict.html,03fad5af93279e00987e7a1743591c3b56afa8cf200a4ca4c747dffe32094960
2014,Ovens Valley,general-election,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2014/ovensvalleydistrict.html,41a041187800044031412f9e889e66234a7a93af495fa6778937453f95134ad2
2014,Pascoe Vale,general-election,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2014/pascoevaledistrict.html,af8e0e300bf440d483f14821a86939a7598225507447ccfbb707cde4e88d3e83
2014,Polwarth,general-election,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2014/polwarthdistrict.html,b95086e630d810a0865592822f2da62f0bbf9c70b48da8df7bc1e8d8e42d517a
2014,Prahran,general-election,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2014/prahrandistrict.html,ac84d9f4e9ca8d4b39e4d66e642bc94220539146399267b34a000e3dc1719986
2014,Preston,general-election,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2014/prestondistrict.html,cd227c0398919d02ac701677417b0463b7e3d56c2640a1bf8e49e82effe53b62
2014,Richmond,general-election,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2014/richmonddistrict.html,d2c1ac779835259a9db38dd79d92abf922fa3c9d93a3555acf22b44691eadf8e
2014,Ringwood,general-election,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2014/ringwooddistrict.html,7dc0311bcf54814511590787454eadeffd6fe0c5c24427e6d41584f1a0d236a3
2014,Ripon,general-election,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2014/ripondistrict.html,1f9f4bca9d91b6573166028db83a97e0f77d835bc7a04b106d3bb8f35347356e
2014,Rowville,general-election,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2014/rowvilledistrict.html,b8bf2796b61febf8262a4de27ccd1d20b2c98ed0a3f90b67a796349824acd047
